"incident_date","incident_datetime","analysis_neighborhood","incident_category","incident_category","resolution","police_district","incident_description","incident_number"
"2024-04-01 00:00:00","2024-04-01 00:00:00","Portola","Larceny Theft","Larceny Theft","Open or Active","Bayview","Theft, From Person, $200-$950 (other than Pickpocket)","240205997"
"2024-04-01 00:00:00","2024-04-01 00:00:00","Tenderloin","Motor Vehicle Theft","Motor Vehicle Theft","Cite or Arrest Adult","Tenderloin","Vehicle, Stolen & Recovered","240206525"
"2024-04-01 00:00:00","2024-04-01 00:00:00","Portola","Fraud","Fraud","Open or Active","Bayview","Access Card, incl. Credit, Phone, ATM, Fraudulent Use of","240205997"
"2024-04-01 00:00:00","2024-04-01 00:00:00","Twin Peaks","Miscellaneous Investigation","Miscellaneous Investigation","Open or Active","Park","Miscellaneous Investigation","240205317"
"2024-04-01 00:00:00","2024-04-01 00:01:00","Mission Bay","Fraud","Fraud","Open or Active","Southern","Access Card, incl. Credit, Phone, ATM, Fraudulent Use of","240210184"
"2024-04-01 00:00:00","2024-04-01 00:03:00","Visitacion Valley","Fraud","Fraud","Open or Active","Ingleside","Access Card, incl. Credit, Phone, ATM, Fraudulent Use of","240205765"
"2024-04-01 00:00:00","2024-04-01 00:05:00","Tenderloin","Traffic Violation Arrest","Traffic Violation Arrest","Cite or Arrest Adult","Tenderloin","Traffic Violation Arrest","240204870"
"2024-04-01 00:00:00","2024-04-01 00:05:00","Tenderloin","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Tenderloin","Driving, License Suspended or Revoked","240204870"
"2024-04-01 00:00:00","2024-04-01 00:10:00","Bayview Hunters Point","Recovered Vehicle","Recovered Vehicle","Open or Active","Bayview","Vehicle, Recovered, Truck","240194522"
"2024-04-01 00:00:00","2024-04-01 00:30:00","Financial District/South Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Person, <$50 (other than Pickpocket)","240204927"
"2024-04-01 00:00:00","2024-04-01 01:16:00","Bayview Hunters Point","Non-Criminal","Non-Criminal","Open or Active","Bayview","Mental Health Detention","240204911"
"2024-04-01 00:00:00","2024-04-01 01:28:00","South of Market","Stolen Property","Stolen Property","Cite or Arrest Adult","Tenderloin","Stolen Property, Possession with Knowledge, Receiving","240204977"
"2024-04-01 00:00:00","2024-04-01 01:28:00","South of Market","Burglary","Burglary","Cite or Arrest Adult","Tenderloin","Burglary, Other Bldg. Under Constr., Forcible Entry","240204977"
"2024-04-01 00:00:00","2024-04-01 01:30:00","South of Market","Malicious Mischief","Malicious Mischief","Open or Active","Southern","Malicious Mischief, Vandalism to Property","240206434"
"2024-04-01 00:00:00","2024-04-01 01:30:00","South of Market","Burglary","Burglary","Open or Active","Southern","Burglary, Apartment House, Att. Forcible Entry","240206434"
"2024-04-01 00:00:00","2024-04-01 01:39:00","Bayview Hunters Point","Burglary","Burglary","Open or Active","Bayview","Burglary, Non-residential, Forcible Entry","240205038"
"2024-04-01 00:00:00","2024-04-01 01:40:00","Inner Richmond","Missing Person","Missing Person","Open or Active","Richmond","Missing Adult","240204999"
"2024-04-01 00:00:00","2024-04-01 01:59:00","Western Addition","Burglary","Burglary","Open or Active","Northern","Burglary, Store, Unlawful Entry","240204961"
"2024-04-01 00:00:00","2024-04-01 02:00:00","Mission Bay","Burglary","Burglary","Open or Active","Southern","Burglary, Store, Forcible Entry","240204955"
"2024-04-01 00:00:00","2024-04-01 02:00:00","North Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","246045331"
"2024-04-01 00:00:00","2024-04-01 02:05:00","Mission","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Mission","Driving, No License Issued","240204933"
"2024-04-01 00:00:00","2024-04-01 02:25:00","Excelsior","Assault","Assault","Open or Active","Ingleside","Battery","240204983"
"2024-04-01 00:00:00","2024-04-01 02:30:00","Western Addition","Fraud","Fraud","Open or Active","Northern","Fraudulent Use Of Automated Teller Card","240205276"
"2024-04-01 00:00:00","2024-04-01 02:44:00","Bernal Heights","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Ingleside","Driving While Under The Influence Of Alcohol","240205022"
"2024-04-01 00:00:00","2024-04-01 02:44:00","Bernal Heights","Traffic Violation Arrest","Traffic Violation Arrest","Cite or Arrest Adult","Ingleside","Traffic Violation Arrest","240205022"
"2024-04-01 00:00:00","2024-04-01 02:49:00","Bernal Heights","Malicious Mischief","Malicious Mischief","Open or Active","Ingleside","Malicious Mischief, Vandalism to Property","240205000"
"2024-04-01 00:00:00","2024-04-01 02:49:00","Bernal Heights","Other Miscellaneous","Other Miscellaneous","Open or Active","Ingleside","Investigative Detention","240205000"
"2024-04-01 00:00:00","2024-04-01 02:49:00","Bernal Heights","Burglary","Burglary","Open or Active","Ingleside","Burglary, Residence, Att. Forcible Entry","240205000"
"2024-04-01 00:00:00","2024-04-01 02:55:00","South of Market","Warrant","Warrant","Cite or Arrest Adult","Southern","Warrant Arrest, Enroute To Outside Jurisdiction","240205016"
"2024-04-01 00:00:00","2024-04-01 03:00:00","Inner Sunset","Larceny Theft","Larceny Theft","Open or Active","Park","Theft, Other Property, >$950","246043664"
"2024-04-01 00:00:00","2024-04-01 03:00:00","Excelsior","Larceny Theft","Larceny Theft","Open or Active","Ingleside","Theft, From Unlocked Vehicle, >$950","246045698"
"2024-04-01 00:00:00","2024-04-01 03:16:00","Outer Richmond","Burglary","Burglary","Open or Active","Richmond","Burglary, Non-residential, Forcible Entry","240207222"
"2024-04-01 00:00:00","2024-04-01 03:20:00","Tenderloin","Recovered Vehicle","Recovered Vehicle","Cite or Arrest Adult","Tenderloin","Vehicle, Recovered, Auto","240193223"
"2024-04-01 00:00:00","2024-04-01 03:20:00","Tenderloin","Recovered Vehicle","Recovered Vehicle","Cite or Arrest Adult","Tenderloin","Vehicle, Recovered, Auto","240193223"
"2024-04-01 00:00:00","2024-04-01 03:20:00","Tenderloin","Warrant","Warrant","Cite or Arrest Adult","Tenderloin","Warrant Arrest, Enroute To Outside Jurisdiction","240193223"
"2024-04-01 00:00:00","2024-04-01 03:20:00","Tenderloin","Drug Offense","Drug Offense","Cite or Arrest Adult","Tenderloin","Loitering Where Narcotics are Sold/Used","240193223"
"2024-04-01 00:00:00","2024-04-01 05:00:00","Excelsior","Larceny Theft","Larceny Theft","Open or Active","Ingleside","Theft, From Unlocked Vehicle, >$950","246045682"
"2024-04-01 00:00:00","2024-04-01 06:00:00","West of Twin Peaks","Burglary","Burglary","Open or Active","Taraval","Burglary, Hot Prowl, Unlawful Entry","240205072"
"2024-04-01 00:00:00","2024-04-01 06:08:00","West of Twin Peaks","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Taraval","Vehicle, Stolen, Auto","240205072"
"2024-04-01 00:00:00","2024-04-01 06:08:00","West of Twin Peaks","Burglary","Burglary","Open or Active","Taraval","Burglary, Hot Prowl, Unlawful Entry","240205072"
"2024-04-01 00:00:00","2024-04-01 06:30:00","Sunset/Parkside","Non-Criminal","Non-Criminal","Open or Active","Taraval","Found  Property","240205414"
"2024-04-01 00:00:00","2024-04-01 06:32:00","Mission","Offences Against The Family And Children","Offences Against The Family And Children","Open or Active","Mission","Violation of Restraining Order","240205066"
"2024-04-01 00:00:00","2024-04-01 07:30:00","Hayes Valley","Other Offenses","Other Offenses","Open or Active","Northern","License Plate, Recovered","240198182"
"2024-04-01 00:00:00","2024-04-01 07:30:00","Hayes Valley","Other Offenses","Other Offenses","Open or Active","Northern","License Plate, Found","240205298"
"2024-04-01 00:00:00","2024-04-01 07:40:00","Pacific Heights","Robbery","Robbery","Cite or Arrest Adult","Northern","Robbery, W/ Force","240205204"
"2024-04-01 00:00:00","2024-04-01 07:40:00","Pacific Heights","Warrant","Warrant","Cite or Arrest Adult","Northern","Warrant Arrest, Local SF Warrant","240205204"
"2024-04-01 00:00:00","2024-04-01 07:40:00","Pacific Heights","Missing Person","Missing Person","Cite or Arrest Adult","Northern","Found Person","240205204"
"2024-04-01 00:00:00","2024-04-01 07:58:00","Financial District/South Beach","Other","Other","Open or Active","Central","Death Report, Cause Unknown","240205129"
"2024-04-01 00:00:00","2024-04-01 08:00:00","Golden Gate Park","Non-Criminal","Non-Criminal","Open or Active","Richmond","Aided Case","240205157"
"2024-04-01 00:00:00","2024-04-01 08:00:00","Tenderloin","Missing Person","Missing Person","Open or Active","Tenderloin","Missing Adult","240209228"
